번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명
321,영화상영관,03_13_02_P,3110000,CDFF4220002005000019,20050623,,1,영업/정상,13,영업중,,,,,23507053,,,서울특별시 은평구 대조동 240번지 팜스퀘어,"서울특별시 은평구 불광로 20, 13층 (대조동, 팜스퀘어)",3397,CGV불광제7관,2.02E+13,U,40:00.0,,193661.7324,456379.1939,영화상영관,영화상영관,24,기타,,,16,8,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050623,상업지역
322,영화상영관,03_13_02_P,3110000,CDFF4220002016000001,20161130,,1,영업/정상,13,영업중,,,,,7074057912,,,서울특별시 은평구 진관동 63,서울특별시 은평구 통일로 1050 (진관동),3306,롯데시네마 은평 2관,2.02E+13,U,40:00.0,,192798.6592,459646.8272,영화상영관,,11,기타,,,9,2,유통시설,,,,,,,,,,,,,,,,,,,영화관,,20161130,
323,영화상영관,03_13_02_P,3010000,CDFF4220002017000004,20171219,,1,영업/정상,13,영업중,,,,,02-2136-3500,,,서울특별시 중구 을지로6가 17-2 현대시티타워,"서울특별시 중구 장충단로13길 20, 현대시티타워 10층 (을지로6가)",4563,CGV 동대문 제4관,2.02E+13,U,40:00.0,,200613.5103,451817.5154,영화상영관,,0,,,0,23,6,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20171219,
324,영화상영관,03_13_02_P,3010000,CDFF4220002017000005,20171219,,1,영업/정상,13,영업중,,,,,02-2136-3500,,,서울특별시 중구 을지로6가 17-2 현대시티타워,"서울특별시 중구 장충단로13길 20, 현대시티타워 10층 (을지로6가)",4563,CGV 동대문 제5관,2.02E+13,U,40:00.0,,200613.5103,451817.5154,영화상영관,,0,,,0,23,6,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20171219,
325,영화상영관,03_13_02_P,3010000,CDFF4220002017000006,20171219,,1,영업/정상,13,영업중,,,,,02-2136-3500,,,서울특별시 중구 을지로6가 17-2 현대시티타워,"서울특별시 중구 장충단로13길 20, 현대시티타워 10층 (을지로6가)",4563,CGV 동대문 제6관,2.02E+13,U,40:00.0,,200613.5103,451817.5154,영화상영관,,0,,,0,23,6,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20171219,
326,영화상영관,03_13_02_P,3010000,CDFF4220002017000002,20171219,,1,영업/정상,13,영업중,,,,,02-2136-3500,,,서울특별시 중구 을지로6가 17-2 현대시티타워,"서울특별시 중구 장충단로13길 20, 현대시티타워 10층 (을지로6가)",4563,CGV 동대문 제2관,2.02E+13,U,40:00.0,,200613.5103,451817.5154,영화상영관,,0,,,0,23,6,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20171219,
327,영화상영관,03_13_02_P,3010000,CDFF4220002017000003,20171219,,1,영업/정상,13,영업중,,,,,02-2136-3500,,,서울특별시 중구 을지로6가 17-2 현대시티타워,"서울특별시 중구 장충단로13길 20, 현대시티타워 10층 (을지로6가)",4563,CGV 동대문 제3관,2.02E+13,U,40:00.0,,200613.5103,451817.5154,영화상영관,,0,,,0,23,6,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20171219,
328,영화상영관,03_13_02_P,3120000,CDFF4220002006000001,20060915,,1,영업/정상,13,영업중,,,,,02-3147-3806,,,서울특별시 서대문구 신촌동 74-12 5층,"서울특별시 서대문구 신촌역로 30, 5층 (신촌동)",3765,메가박스중앙(주)신촌지점 COMFORT 1관,2.02E+13,U,40:00.0,,194798.4584,450837.0517,영화상영관,영화상영관,,,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20060915,
329,영화상영관,03_13_02_P,3120000,CDFF4220002006000002,20060915,,1,영업/정상,13,영업중,,,,,02-3147-3806,,,서울특별시 서대문구 신촌동 74-12 5층,"서울특별시 서대문구 신촌역로 30 (신촌동,5층)",,메가박스중앙(주)신촌지점 2관,2.02E+13,U,40:00.0,,194798.4584,450837.0517,영화상영관,영화상영관,,,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20060915,
330,영화상영관,03_13_02_P,3120000,CDFF4220002006000003,20060915,,1,영업/정상,13,영업중,,,,,02-3147-3806,,,서울특별시 서대문구 신촌동 74-12 5층,"서울특별시 서대문구 신촌역로 30 (신촌동,5층)",,메가박스중앙(주) 신촌지점 3관,2.02E+13,U,40:00.0,,194798.4584,450837.0517,영화상영관,영화상영관,,,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20060915,
331,영화상영관,03_13_02_P,3120000,CDFF4220002006000004,20060915,,1,영업/정상,13,영업중,,,,,02-3147-3806,,,서울특별시 서대문구 신촌동 74-12 5층,"서울특별시 서대문구 신촌역로 30 (신촌동,5층)",,메가박스중앙(주)신촌지점 COMFORT 4관,2.02E+13,U,40:00.0,,194798.4584,450837.0517,영화상영관,영화상영관,,,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20060915,
332,영화상영관,03_13_02_P,3120000,CDFF4220002006000005,20060915,,1,영업/정상,13,영업중,,,,,02-3147-3806,,,서울특별시 서대문구 신촌동 74-12 5층,"서울특별시 서대문구 신촌역로 30 (신촌동,5층)",,메가박스중앙(주)신촌지점 5관,2.02E+13,U,40:00.0,,194798.4584,450837.0517,영화상영관,영화상영관,,,,,,,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20060915,
333,영화상영관,03_13_02_P,3110000,CDFF4220002016000002,20161130,,1,영업/정상,13,영업중,,,,,7074057912,,,서울특별시 은평구 진관동 63,서울특별시 은평구 통일로 1050 (진관동),3306,롯데시네마 은평 3관,2.02E+13,U,40:00.0,,192798.6592,459646.8272,영화상영관,,11,기타,,,9,2,유통시설,,,,,,,,,,,,,,,,,,,영화관,,20161130,
334,영화상영관,03_13_02_P,3110000,CDFF4220002016000003,20161130,,1,영업/정상,13,영업중,,,,,7074057912,,,서울특별시 은평구 진관동 63,서울특별시 은평구 통일로 1050 (진관동),3306,롯데시네마 은평 4관,2.02E+13,U,40:00.0,,192798.6592,459646.8272,영화상영관,,11,기타,,,9,2,유통시설,,,,,,,,,,,,,,,,,,,영화관,,20161130,
335,영화상영관,03_13_02_P,3110000,CDFF4220002016000004,20161130,,1,영업/정상,13,영업중,,,,,7074057912,,,서울특별시 은평구 진관동 63,서울특별시 은평구 통일로 1050 (진관동),3306,롯데시네마 은평 6관,2.02E+13,U,40:00.0,,192798.6592,459646.8272,영화상영관,,11,기타,,,9,2,유통시설,,,,,,,,,,,,,,,,,,,영화관,,20161130,
336,영화상영관,03_13_02_P,3110000,CDFF4220002016000005,20161130,,1,영업/정상,13,영업중,,,,,7074057912,,,서울특별시 은평구 진관동 63,서울특별시 은평구 통일로 1050 (진관동),3306,롯데시네마 은평 5관,2.02E+13,U,40:00.0,,192798.6592,459646.8272,영화상영관,,11,기타,,,9,2,유통시설,,,,,,,,,,,,,,,,,,,영화관,,20161130,
337,영화상영관,03_13_02_P,3110000,CDFF4220002016000006,20161130,,1,영업/정상,13,영업중,,,,,7074057912,,,서울특별시 은평구 진관동 63,서울특별시 은평구 통일로 1050 (진관동),3306,롯데시네마 은평 7관,2.02E+13,U,40:00.0,,192798.6592,459646.8272,영화상영관,,11,기타,,,9,2,유통시설,,,,,,,,,,,,,,,,,,,영화관,,20161130,
338,영화상영관,03_13_02_P,3110000,CDFF4220002016000007,20161130,,1,영업/정상,13,영업중,,,,,7074057912,,,서울특별시 은평구 진관동 63,서울특별시 은평구 통일로 1050 (진관동),3306,롯데시네마 은평 8관,2.02E+13,U,40:00.0,,192798.6592,459646.8272,영화상영관,,11,기타,,,9,2,유통시설,,,,,,,,,,,,,,,,,,,영화관,,20161130,
339,영화상영관,03_13_02_P,3110000,CDFF4220002016000008,20161130,,1,영업/정상,13,영업중,,,,,7074057912,,,서울특별시 은평구 진관동 63,서울특별시 은평구 통일로 1050 (진관동),3306,롯데시네마 은평 1관,2.02E+13,U,40:00.0,,192798.6592,459646.8272,영화상영관,,11,기타,,,9,2,유통시설,,,,,,,,,,,,,,,,,,,영화관,,20161130,
340,영화상영관,03_13_02_P,3060000,CDFF4220002016000003,20160223,,1,영업/정상,13,영업중,,,,,02-2207-1703,,,서울특별시 중랑구 상봉동 501,"서울특별시 중랑구 상봉로 131, 지하1,2층 (상봉동, 상봉듀오트리스주상복합)",2150,CGV상봉3관,2.02E+13,U,40:00.0,,208076.3867,455017.5286,영화상영관,,,,,,41,8,,1,,,,,,,,,,,,,,,,,,영화관,,20160223,
341,영화상영관,03_13_02_P,3060000,CDFF4220002016000004,20160223,,1,영업/정상,13,영업중,,,,,02-2207-1703,,,서울특별시 중랑구 상봉동 501,"서울특별시 중랑구 상봉로 131, 지하1,2층 (상봉동, 상봉듀오트리스주상복합)",2150,CGV상봉4관,2.02E+13,U,40:00.0,,208076.3867,455017.5286,영화상영관,,,,,,41,8,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20160223,
342,영화상영관,03_13_02_P,3060000,CDFF4220002016000005,20160223,,1,영업/정상,13,영업중,,,,,02-2207-1703,,,서울특별시 중랑구 상봉동 501,"서울특별시 중랑구 상봉로 131, 지하1,2층 (상봉동, 상봉듀오트리스주상복합)",2150,CGV상봉5관,2.02E+13,U,40:00.0,,208076.3867,455017.5286,영화상영관,,,,,,41,8,,1,,,,,,,,,,,,,,,,,,영화관,,20160223,
343,영화상영관,03_13_02_P,3060000,CDFF4220002016000006,20160223,,1,영업/정상,13,영업중,,,,,02-2207-1703,,,서울특별시 중랑구 상봉동 501,"서울특별시 중랑구 상봉로 131, 지하1,2층 (상봉동, 상봉듀오트리스주상복합)",2150,CGV상봉6관,2.02E+13,U,40:00.0,,208076.3867,455017.5286,영화상영관,,,,,,41,8,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20160223,
344,영화상영관,03_13_02_P,3060000,CDFF4220002016000007,20160223,,1,영업/정상,13,영업중,,,,,02-2207-1703,,,서울특별시 중랑구 상봉동 501,"서울특별시 중랑구 상봉로 131, 지하1,2층 (상봉동, 상봉듀오트리스주상복합)",2150,CGV상봉7관,2.02E+13,U,40:00.0,,208076.3867,455017.5286,영화상영관,,,,,,41,8,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20160223,
345,영화상영관,03_13_02_P,3060000,CDFF4220002009000001,20090925,,1,영업/정상,13,영업중,,,,,6405-2577,,,서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),2120,메가박스중앙(주) 상봉지점 1관,2.02E+13,U,40:00.0,,206526.0022,454549.1674,영화상영관,,11,기타,,,9,2,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20090925,준주거지역
346,영화상영관,03_13_02_P,3060000,CDFF4220002009000002,20090925,,1,영업/정상,13,영업중,,,,,6405-2577,,,서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),2120,메가박스중앙(주) 상봉지점 2관,2.02E+13,U,40:00.0,,206526.0022,454549.1674,영화상영관,,11,기타,,,9,2,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20090925,준주거지역
347,영화상영관,03_13_02_P,3060000,CDFF4220002009000003,20090925,,1,영업/정상,13,영업중,,,,,6405-2577,,,서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),2120,메가박스중앙(주) 상봉지점 3관,2.02E+13,U,40:00.0,,206526.0022,454549.1674,영화상영관,,11,기타,,,9,2,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20090925,준주거지역
348,영화상영관,03_13_02_P,3060000,CDFF4220002009000004,20090925,,1,영업/정상,13,영업중,,,,,6405-2577,,,서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),2120,메가박스중앙(주) 상봉지점 4관,2.02E+13,U,40:00.0,,206526.0022,454549.1674,영화상영관,,11,기타,,,9,2,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20090925,준주거지역
349,영화상영관,03_13_02_P,3060000,CDFF4220002009000005,20090925,,1,영업/정상,13,영업중,,,,,6405-2577,,,서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),2120,메가박스중앙(주) 상봉지점 5관,2.02E+13,U,40:00.0,,206526.0022,454549.1674,영화상영관,,11,기타,,,9,2,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20090925,준주거지역
350,영화상영관,03_13_02_P,3060000,CDFF4220002009000006,20090925,,1,영업/정상,13,영업중,,,,,6405-2577,,,서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),2120,메가박스중앙(주) 상봉지점 6관,2.02E+13,U,40:00.0,,206526.0022,454549.1674,영화상영관,,11,기타,,,9,2,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20090925,준주거지역
351,영화상영관,03_13_02_P,3060000,CDFF4220002009000007,20090925,,1,영업/정상,13,영업중,,,,,6405-2577,,,서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),2120,메가박스중앙(주) 상봉지점 7관,2.02E+13,U,40:00.0,,206526.0022,454549.1674,영화상영관,,11,기타,,,9,2,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20090925,준주거지역
352,영화상영관,03_13_02_P,3060000,CDFF4220002016000001,20160223,,1,영업/정상,13,영업중,,,,,02-2207-1703,,,서울특별시 중랑구 상봉동 501,"서울특별시 중랑구 상봉로 131, 지하1,2층 (상봉동, 상봉듀오트리스주상복합)",2150,CGV상봉1관,2.02E+13,U,40:00.0,,208076.3867,455017.5286,영화상영관,,,,,,41,8,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20160223,
353,영화상영관,03_13_02_P,3060000,CDFF4220002016000002,20160223,,1,영업/정상,13,영업중,,,,,02-2207-1703,,,서울특별시 중랑구 상봉동 501,"서울특별시 중랑구 상봉로 131, 지하1,2층 (상봉동, 상봉듀오트리스주상복합)",2150,CGV상봉2관,2.02E+13,U,40:00.0,,208076.3867,455017.5286,영화상영관,,,,,,41,8,문화시설,1,,,,,,,,,,,,,,,,,,영화관,,20160223,
354,영화상영관,03_13_02_P,3780000,CDFF4220002018000001,20181227,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 수정구 신흥동 4124 신흥역 시네마타워,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 8-11층 (신흥동)",13353,롯데컬처웍스(주) 롯데시네마 성남중앙 1관,2.02E+13,U,40:00.0,,212889.7801,437694.3049,영화상영관,,11,,,,11,6,,1,,,,,,,,,,,,,,,,,,영화관,,20181227,
355,영화상영관,03_13_02_P,3780000,CDFF4220002018000002,20181227,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 수정구 신흥동 4124 신흥역 시네마타워,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 8-11층 (신흥동)",13353,롯데컬처웍스(주) 롯데시네마 성남중앙 2관,2.02E+13,U,40:00.0,,212889.7801,437694.3049,영화상영관,,11,,,,11,6,,1.2,,,,,,,,,,,,,,,,,,영화관,,20181227,
356,영화상영관,03_13_02_P,3780000,CDFF4220002018000003,20181227,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 수정구 신흥동 4124 신흥역 시네마타워,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 8-11층 (신흥동)",13353,롯데컬처웍스(주) 롯데시네마 성남중앙 3관,2.02E+13,U,40:00.0,,212889.7801,437694.3049,영화상영관,,11,,,,11,6,,1,,,,,,,,,,,,,,,,,,영화관,,20181227,
357,영화상영관,03_13_02_P,3780000,CDFF4220002018000004,20181227,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 수정구 신흥동 4124 신흥역 시네마타워,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 8-11층 (신흥동)",13353,롯데컬처웍스(주) 롯데시네마 성남중앙 4관,2.02E+13,U,40:00.0,,212889.7801,437694.3049,영화상영관,,11,,,,11,6,,1.2,,,,,,,,,,,,,,,,,,영화관,,20181227,
358,영화상영관,03_13_02_P,3780000,CDFF4220002018000005,20181227,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 수정구 신흥동 4124 신흥역 시네마타워,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 8-11층 (신흥동)",13353,롯데컬처웍스(주) 롯데시네마 성남중앙 5관,2.02E+13,U,40:00.0,,212889.7801,437694.3049,영화상영관,,11,,,,11,6,,1,,,,,,,,,,,,,,,,,,영화관,,20181227,
359,영화상영관,03_13_02_P,3780000,CDFF4220002018000006,20181227,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 수정구 신흥동 4124 신흥역 시네마타워,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 8-11층 (신흥동)",13353,롯데컬처웍스(주) 롯데시네마 성남중앙 6관,2.02E+13,U,40:00.0,,212889.7801,437694.3049,영화상영관,,11,,,,11,6,,1,,,,,,,,,,,,,,,,,,영화관,,20181227,
360,영화상영관,03_13_02_P,3780000,CDFF4220002018000007,20181227,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 수정구 신흥동 4124 신흥역 시네마타워,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 8-11층 (신흥동)",13353,롯데컬처웍스(주) 롯데시네마 성남중앙 7관,2.02E+13,U,40:00.0,,212889.7801,437694.3049,영화상영관,,11,,,,11,6,,1,,,,,,,,,,,,,,,,,,영화관,,20181227,
361,영화상영관,03_13_02_P,3780000,CDFF4220002018000008,20181227,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 수정구 신흥동 4124 신흥역 시네마타워,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 8-11층 (신흥동)",13353,롯데컬처웍스(주) 롯데시네마 성남중앙 8관,2.02E+13,U,40:00.0,,212889.7801,437694.3049,영화상영관,,11,,,,11,6,,1.2,,,,,,,,,,,,,,,,,,영화관,,20181227,
362,영화상영관,03_13_02_P,3780000,CDFF4220002018000009,20181227,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 수정구 신흥동 4124 신흥역 시네마타워,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 8-11층 (신흥동)",13353,롯데컬처웍스(주) 롯데시네마 성남중앙 9관,2.02E+13,U,40:00.0,,212889.7801,437694.3049,영화상영관,,11,,,,11,6,,1.2,,,,,,,,,,,,,,,,,,영화관,,20181227,
363,영화상영관,03_13_02_P,4050000,CDFF4220002019000008,20190111,,1,영업/정상,13,영업중,,,,,031-229-3566,,,경기도 용인시 기흥구 청덕동 556번지 용인테크노밸리,"경기도 용인시 기흥구 구성로 357, 용인테크노밸리 지하1층 (청덕동)",16914,메가박스 용인테크노밸리 1관,2.02E+13,I,20:47.0,,213057.9276,421057.2355,영화상영관,,13,,,,10,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20190111,준주거지역
364,영화상영관,03_13_02_P,4050000,CDFF4220002019000009,20190111,,1,영업/정상,13,영업중,,,,,031-229-3566,,,경기도 용인시 기흥구 청덕동 556번지 용인테크노밸리,"경기도 용인시 기흥구 구성로 357, 용인테크노밸리 지하1층 (청덕동)",16914,메가박스 용인테크노밸리 2관,2.02E+13,I,20:47.0,,213057.9276,421057.2355,영화상영관,,13,,,,10,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20190111,준주거지역
365,영화상영관,03_13_02_P,4050000,CDFF4220002019000010,20190111,,1,영업/정상,13,영업중,,,,,031-229-3566,,,경기도 용인시 기흥구 청덕동 556번지 용인테크노밸리,"경기도 용인시 기흥구 구성로 357, 용인테크노밸리 지하1층 (청덕동)",16914,메가박스 용인테크노밸리 3관,2.02E+13,I,20:47.0,,213057.9276,421057.2355,영화상영관,,13,,,,10,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20190111,준주거지역
366,영화상영관,03_13_02_P,4050000,CDFF4220002019000011,20190111,,1,영업/정상,13,영업중,,,,,031-229-3566,,,경기도 용인시 기흥구 청덕동 556번지 용인테크노밸리,"경기도 용인시 기흥구 구성로 357, 용인테크노밸리 지하1층 (청덕동)",16914,메가박스 용인테크노밸리 4관,2.02E+13,I,20:47.0,,213057.9276,421057.2355,영화상영관,,13,,,,10,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20190111,준주거지역
367,영화상영관,03_13_02_P,4050000,CDFF4220002019000012,20190111,,1,영업/정상,13,영업중,,,,,031-229-3566,,,경기도 용인시 기흥구 청덕동 556번지 용인테크노밸리,"경기도 용인시 기흥구 구성로 357, 용인테크노밸리 지하1층 (청덕동)",16914,메가박스 용인테크노밸리 5관,2.02E+13,I,20:47.0,,213057.9276,421057.2355,영화상영관,,13,,,,10,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20190111,준주거지역
368,영화상영관,03_13_02_P,3150000,CDFF4220002019000007,20190125,,1,영업/정상,13,영업중,,,,,02-3665-9064,,,서울특별시 강서구 등촌동 639-23 3~9층,"서울특별시 강서구 공항대로45길 63, 3~9층 (등촌동)",7567,CGV 등촌 7관,2.02E+13,U,40:00.0,,187210.9178,450631.4355,영화상영관,,0,,,0,10,3,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20190125,
369,영화상영관,03_13_02_P,3150000,CDFF4220002019000008,20190125,,1,영업/정상,13,영업중,,,,,02-3665-9064,,,서울특별시 강서구 등촌동 639-23 3~9층,"서울특별시 강서구 공항대로45길 63, 3~9층 (등촌동)",7567,CGV 등촌 8관,2.02E+13,U,40:00.0,,187210.9178,450631.4355,영화상영관,,0,,,0,10,3,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20190125,
370,영화상영관,03_13_02_P,4680000,CDFF4220002019000001,20190227,,1,영업/정상,13,영업중,,,,,063-843-7707,,,전라북도 익산시 모현동1가 876번지,전라북도 익산시 선화로 77 (모현동1가),54654,롯데시네마 익산모현관 제1관,2.02E+13,I,21:54.0,,194489.7532,272181.1411,영화상영관,,10,유흥업소밀집지역,,,7,3,근린생활시설,,,,,,,,,,,,,,,,,,,영화관,,20190227,일반상업지역
371,영화상영관,03_13_02_P,4680000,CDFF4220002019000002,20190227,,1,영업/정상,13,영업중,,,,,063-843-7707,,,전라북도 익산시 모현동1가 876번지,전라북도 익산시 선화로 77 (모현동1가),54654,롯데시네마 익산모현관 제2관,2.02E+13,I,21:54.0,,194489.7532,272181.1411,영화상영관,,10,유흥업소밀집지역,,,7,3,근린생활시설,,,,,,,,,,,,,,,,,,,영화관,,20190227,일반상업지역
372,영화상영관,03_13_02_P,4680000,CDFF4220002019000003,20190227,,1,영업/정상,13,영업중,,,,,063-843-7707,,,전라북도 익산시 모현동1가 876번지,전라북도 익산시 선화로 77 (모현동1가),54654,롯데시네마 익산모현관 제3관,2.02E+13,I,21:54.0,,194489.7532,272181.1411,영화상영관,,10,유흥업소밀집지역,,,7,3,근린생활시설,,,,,,,,,,,,,,,,,,,영화관,,20190227,일반상업지역
373,영화상영관,03_13_02_P,4680000,CDFF4220002019000004,20190227,,1,영업/정상,13,영업중,,,,,063-843-7707,,,전라북도 익산시 모현동1가 876번지,전라북도 익산시 선화로 77 (모현동1가),54654,롯데시네마 익산모현관 제4관,2.02E+13,I,21:54.0,,194489.7532,272181.1411,영화상영관,,10,유흥업소밀집지역,,,7,3,근린생활시설,,,,,,,,,,,,,,,,,,,영화관,,20190227,일반상업지역
374,영화상영관,03_13_02_P,4680000,CDFF4220002019000005,20190227,,1,영업/정상,13,영업중,,,,,063-843-7707,,,전라북도 익산시 모현동1가 876번지,전라북도 익산시 선화로 77 (모현동1가),54654,롯데시네마 익산모현관 제5관,2.02E+13,I,21:54.0,,194489.7532,272181.1411,영화상영관,,10,유흥업소밀집지역,,,7,3,근린생활시설,,,,,,,,,,,,,,,,,,,영화관,,20190227,일반상업지역
375,영화상영관,03_13_02_P,4680000,CDFF4220002019000006,20190227,,1,영업/정상,13,영업중,,,,,063-843-7707,,,전라북도 익산시 모현동1가 876번지,전라북도 익산시 선화로 77 (모현동1가),54654,롯데시네마 익산모현관 제6관,2.02E+13,I,21:54.0,,194489.7532,272181.1411,영화상영관,,10,유흥업소밀집지역,,,7,3,근린생활시설,,,,,,,,,,,,,,,,,,,영화관,,20190227,일반상업지역
376,영화상영관,03_13_02_P,4680000,CDFF4220002019000007,20190227,,1,영업/정상,13,영업중,,,,,063-843-7707,,,전라북도 익산시 모현동1가 876번지,전라북도 익산시 선화로 77 (모현동1가),54654,롯데시네마 익산모현관 제7관,2.02E+13,I,21:54.0,,194489.7532,272181.1411,영화상영관,,10,유흥업소밀집지역,,,7,3,근린생활시설,,,,,,,,,,,,,,,,,,,영화관,,20190227,일반상업지역
377,영화상영관,03_13_02_P,3150000,CDFF4220002019000001,20190125,,1,영업/정상,13,영업중,,,,,02-3665-9064,,,서울특별시 강서구 등촌동 639-23 3~9층,"서울특별시 강서구 공항대로45길 63, 3~9층 (등촌동)",7567,CGV 등촌 1관,2.02E+13,U,40:00.0,,187210.9178,450631.4355,영화상영관,,0,,,0,10,3,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20190125,
378,영화상영관,03_13_02_P,3150000,CDFF4220002019000002,20190125,,1,영업/정상,13,영업중,,,,,02-3665-9064,,,서울특별시 강서구 등촌동 639-23 3~9층,"서울특별시 강서구 공항대로45길 63, 3~9층 (등촌동)",7567,CGV 등촌 2관,2.02E+13,U,40:00.0,,187210.9178,450631.4355,영화상영관,,0,,,0,10,3,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20190125,
379,영화상영관,03_13_02_P,3150000,CDFF4220002019000003,20190125,,1,영업/정상,13,영업중,,,,,02-3665-9064,,,서울특별시 강서구 등촌동 639-23 3~9층,"서울특별시 강서구 공항대로45길 63, 3~9층 (등촌동)",7567,CGV 등촌 3관,2.02E+13,U,40:00.0,,187210.9178,450631.4355,영화상영관,,0,,,0,10,3,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20190125,
380,영화상영관,03_13_02_P,3150000,CDFF4220002019000004,20190125,,1,영업/정상,13,영업중,,,,,02-3665-9064,,,서울특별시 강서구 등촌동 639-23 3~9층,"서울특별시 강서구 공항대로45길 63, 3~9층 (등촌동)",7567,CGV 등촌 4관,2.02E+13,U,40:00.0,,187210.9178,450631.4355,영화상영관,,0,,,0,10,3,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20190125,
381,영화상영관,03_13_02_P,3150000,CDFF4220002019000005,20190125,,1,영업/정상,13,영업중,,,,,02-3665-9064,,,서울특별시 강서구 등촌동 639-23 3~9층,"서울특별시 강서구 공항대로45길 63, 3~9층 (등촌동)",7567,CGV 등촌 5관,2.02E+13,U,40:00.0,,187210.9178,450631.4355,영화상영관,,0,,,0,10,3,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20190125,
